timestamp,time_seconds,facial_quadrant,facial_arousal,facial_valence,facial_intensity,facial_excitement,facial_calmness,facial_positivity,facial_negativity,facial_angry,facial_disgust,facial_fear,facial_happy,facial_sad,facial_surprise,facial_neutral,voice_segment_start,voice_segment_end,voice_pitch_mean,voice_pitch_std,voice_pitch_range,voice_pitch_variation,voice_volume_mean,voice_volume_std,voice_volume_range,voice_spectral_centroid,voice_spectral_centroid_std,voice_spectral_bandwidth,voice_spectral_rolloff,voice_zero_crossing_rate,voice_mfcc_1,voice_mfcc_1_std,voice_mfcc_2,voice_mfcc_2_std,voice_mfcc_3,voice_mfcc_3_std,voice_mfcc_4,voice_mfcc_4_std,voice_mfcc_5,voice_mfcc_5_std,voice_mfcc_6,voice_mfcc_6_std,voice_mfcc_7,voice_mfcc_7_std,voice_mfcc_8,voice_mfcc_8_std,voice_mfcc_9,voice_mfcc_9_std,voice_mfcc_10,voice_mfcc_10_std,voice_mfcc_11,voice_mfcc_11_std,voice_mfcc_12,voice_mfcc_12_std,voice_mfcc_13,voice_mfcc_13_std,voice_speech_rate,voice_silence_ratio,voice_harmonic_ratio,voice_tremor,voice_arousal,voice_valence,voice_dominance,voice_intensity,voice_stress,voice_happy,voice_angry,voice_sad,voice_fear,voice_surprise,voice_disgust,voice_neutral,combined_arousal,combined_valence,combined_intensity,combined_quadrant,fused_angry,fused_disgust,fused_fear,fused_happy,fused_sad,fused_surprise,fused_neutral,fused_arousal,fused_valence,fused_intensity,fused_stress,fused_dominant_emotion,fused_quadrant,fused_positivity,fused_negativity,fused_excitement,fused_calmness
2025-11-30 00:08:02.476068,0.0,Tired,-0.2901465,-0.06266613,0.41331315,-0.35512465,0.35512465,-0.15290019,0.15290019,0.054399855,1.09323864e-07,0.17665097,0.021799576,0.15330943,0.007153203,0.58668685,0,22050,320.57816,60.73575,263.92767,0.18945691,0.007325272,0.016433753,0.058556374,1779.0539198148292,363.89597997671393,1930.178385606761,3100.2918590198865,0.0845503373579545,-569.53375,112.29933,84.43279,30.446133,-7.627526,19.777718,8.8838005,39.93271,-13.942791,10.449893,-28.61247,23.593004,-22.280043,6.3752766,-5.464746,6.1995306,-5.2726994,5.7708507,-13.441845,3.7761953,-9.588548,6.81013,-11.371856,4.399461,-7.6480393,5.003462,2.0,0.8181818181818182,0.0044301725,75.093704,-0.4255863428115845,-0.3775227665901184,-0.3209348917007446,0.184635244174437,0.7206494,0.0005164401077138,0.0839729018831558,0.568986052075517,0.1177030503629247,0.0132178593231264,0.2135281642052585,0.0020755361748696,-0.357866421341896,-0.2200944498181343,0.2989741972901604,Tired,0.06327176906494673,0.06405852578828235,0.1589665941088774,0.01541463523231414,0.2780124166226551,0.008972599896937921,0.41130345585246086,-0.3307784528434753,-0.1571231209770355,0.34470977825233107,0.7206494,neutral,Tired,-0.1571231209770355,0.1571231209770355,0.0,0.3307784528434753
2025-11-30 00:08:03.477024,1.0,Calm,-0.52061844,0.13847184,0.15871346,-0.6030277,0.6030277,0.04343328,-0.04343328,0.04959541,2.6056534e-11,0.021164676,1.8876832e-05,0.087934434,5.019099e-08,0.84128654,22050,44100,205.72012,51.41028,254.34995,0.24990398,0.021113547,0.016515065,0.052538253,1674.0970634614723,1019.2064708537724,1451.6415456194386,3154.1248668323865,0.1058238636363636,-403.36154,92.125984,146.88022,61.523083,-38.588383,32.374866,54.959682,38.768673,-4.822769,23.220982,-2.724791,33.426704,-9.615301,14.043192,-8.12419,11.2290535,-7.7821684,7.8105135,-9.023761,8.809576,2.344187,6.2928386,-14.066649,6.893151,-7.6302004,10.09075,5.0,0.4090909090909091,0.13253148,56.927822,-0.1863306760787964,-0.2875141501426697,-0.0586826801300048,0.4633793733336708,0.5635916,0.0282042837498732,0.2150912560804158,0.2036495154795426,0.1562243105922798,0.0419341396743936,0.2825243722019777,0.0723721194039757,-0.3534745573997497,-0.0745211541652679,0.3110464166511189,Tired,0.09924416382412474,0.08475731167883288,0.06168256637768394,0.00847449890736196,0.12264895844386278,0.012580277036011079,0.6106122138211927,-0.4203321108236389,0.010676042957199108,0.2501132340001012,0.5635916,neutral,Calm,0.010676042957199108,-0.010676042957199108,0.0,0.4203321108236389
2025-11-30 00:08:04.477598,2.0,Calm,-0.5595086,0.17051572,0.14136636,-0.64010364,0.64010364,0.073004946,-0.073004946,0.024763836,1.3952196e-10,0.01606655,0.007095226,0.09342958,1.11363215e-05,0.8656337,44100,66150,277.67825,65.43769,300.21902,0.23566012,0.019309286,0.012443134,0.04856618,1351.2421451300115,679.6654932184917,1312.0843485120115,2725.173672762784,0.0692360617897727,-408.69757,80.71175,163.76222,55.955303,-44.48109,33.23888,62.94718,37.98652,10.77535,16.777529,-22.703493,18.027164,-13.105154,9.158581,-12.311032,11.263738,-6.128261,8.596412,-14.7046175,10.960803,-5.5065665,10.363667,-5.643567,7.9916906,-12.008993,9.917211,6.0,0.25,0.35901186,78.507706,-0.5355503559112549,0.1090403795242309,-0.3734188079833984,0.4887909054756164,0.6590248,0.125860121651092,0.0,0.1963194253891875,0.0894295198833164,0.0290026177455329,0.1165495515436768,0.4428387637871941,-0.5475294888019562,0.1397780478000641,0.3150786340236663,Calm,0.017334685199999998,0.03496486556076841,0.03807544096499492,0.0427246946953276,0.12429653361675624,0.00870858074870987,0.7387952191361582,-0.5523211267733764,0.15207311785726926,0.2455937236426849,0.6590248,neutral,Calm,0.15207311785726926,-0.15207311785726926,0.0,0.5523211267733764
2025-11-30 00:08:05.478012,3.0,Calm,-0.48913497,0.06959085,0.25419998,-0.5529016,0.5529016,-0.021066636,0.021066636,0.05830267,1.1192975e-10,0.021721484,0.021094318,0.15307216,9.376288e-06,0.73179996,66150,88200,229.06712,61.73439,275.18335,0.2695035,0.021856174,0.0145479,0.044717003,1422.573570189771,791.6841094244626,1263.311609757266,2465.307062322443,0.0808771306818181,-403.79004,98.87503,164.89351,64.713196,-49.311802,39.624672,49.06665,29.860863,3.4136553,31.195349,-5.737112,14.466005,-17.365868,12.195393,-10.052315,11.831598,-7.4480624,8.33805,-12.943533,12.116098,-1.9976707,8.145654,-11.842026,6.6380696,0.2816235,9.555384,7.0,0.3409090909090909,0.15584819,68.23192,-0.1952004432678222,0.0445920228958129,-0.0760042667388916,0.4971400894901969,0.5917032,0.0791706089854334,0.0,0.1885984325338351,0.1773288945597801,0.0906313555450421,0.2894582817641404,0.1748124266117686,-0.3421677052974701,0.057091437280178,0.375670035589825,Calm,0.040811869,0.08683748460759294,0.06840370716793402,0.03851720529563002,0.16373004176015055,0.02719597006511263,0.5647036999835305,-0.40095461198034665,0.06209120186874386,0.32708201284705907,0.5917032,neutral,Calm,0.06209120186874386,-0.06209120186874386,0.0,0.40095461198034665
2025-11-30 00:08:06.478421,4.0,Calm,-0.52898175,0.12739965,0.17656672,-0.60468477,0.60468477,0.03395088,-0.03395088,0.051505614,1.9345376e-12,0.0070763463,0.007006146,0.110978514,8.87753e-08,0.8164333,88200,110250,228.79845,76.85816,286.55917,0.3359208,0.021382984,0.014510088,0.058700383,1737.5825658075937,1203.3961523648084,1306.6537908982712,2917.504327947443,0.1245893998579545,-391.60626,59.39559,136.84123,71.27978,-31.740675,38.007175,67.98406,43.70751,-10.534468,28.281847,-6.2489944,34.327084,-10.021155,11.363527,-6.5021043,8.951618,-4.822489,9.943213,-9.210344,9.016773,-3.103182,7.1197495,-16.4386,7.98012,-4.366238,9.206189,6.0,0.2045454545454545,0.059349135,97.00551,-0.4331735372543335,-0.2959888577461242,-0.2163664698600769,0.5532424341548573,0.6996031,0.0116286341582719,0.2768587139644451,0.2023208711714625,0.1538787265776746,0.0379703155163174,0.2711175726615148,0.0462251585174019,-0.481077641248703,-0.0842946022748947,0.3649045770818537,Tired,0.11911154398933353,0.08133527179980862,0.05111706038330238,0.00839289244748157,0.13838122115143875,0.011391156797605221,0.5853708575552206,-0.5002392861763001,0.0003830976761627358,0.2895694342464572,0.6996031,neutral,Calm,0.0003830976761627358,-0.0003830976761627358,0.0,0.5002392861763001
2025-11-30 00:08:07.478824,5.0,Calm,-0.49704388,0.107363775,0.200212,-0.57408935,0.57408935,0.01380001,-0.01380001,0.05735934,2.8420346e-11,0.028080124,0.0070023476,0.107769966,2.0796801e-07,0.799788,110250,132300,261.20142,71.98545,282.36453,0.27559364,0.028100973,0.010180816,0.036684804,1626.278475218688,1270.1805251289609,1244.7065227059632,2842.627507990057,0.1223366477272727,-367.08945,45.767082,173.40465,77.31702,-42.60427,35.41675,61.615726,49.486423,-0.6921968,38.047436,-4.0487103,37.12367,-18.856304,11.130843,-12.685126,14.727266,-8.813246,10.755954,-12.4168825,11.859142,-5.37306,12.281333,-10.165023,10.081133,-1.5799499,6.9791217,5.0,0.0227272727272727,0.5282071,63.38583,-0.3655842542648315,0.0270707607269287,-0.1896268129348755,0.6568696314638311,0.5779213,0.1691080675041412,0.0,0.0538139659983427,0.1018858688868736,0.0494809617444435,0.1023928904592416,0.523318245406957,-0.4313140660524368,0.0672172680497169,0.4285408166321841,Calm,0.040151538,0.030717867157666723,0.05022184746606208,0.055634063571242356,0.09158316599950281,0.014844434100940048,0.7168470736220871,-0.4576059922794494,0.0832758707180786,0.3372092894391493,0.5779213,neutral,Calm,0.0832758707180786,-0.0832758707180786,0.0,0.4576059922794494
2025-11-30 00:08:08.479229,6.0,Tired,-0.39217845,-0.065698,0.3796438,-0.45276833,0.45276833,-0.15443966,0.15443966,0.070581324,3.1681509e-12,0.098011844,1.8181314e-06,0.19704878,0.014000044,0.6203562,132300,154350,226.89467,55.74152,247.84584,0.24567135,0.02668209,0.013517249,0.044837233,1229.200415320213,743.2444879512603,1211.8304230346812,2453.316983309659,0.0749733664772727,-399.05856,87.73661,175.19391,49.401222,-37.242325,33.466297,59.672314,33.635387,9.162559,21.724346,-19.913923,22.514872,-9.956522,10.038265,-11.144726,14.540335,-7.1250887,8.073851,-10.73773,10.620635,-6.3498335,7.2248197,-12.640082,6.9972463,-6.335239,5.9856863,6.0,0.1590909090909091,0.48735818,67.9192,-0.3812321424484253,-0.2731859087944031,-0.293506383895874,0.5927950463511726,0.5446064,0.0868069680592136,0.2259199429044254,0.11143526681791,0.1074156009384627,0.0271503138758255,0.1288269461296129,0.3124449557885069,-0.3867052942514419,-0.1694419533014297,0.4862194221128116,Tired,0.11718290967132762,0.03864808384110158,0.1008329710815388,0.026043363109744082,0.171364726045373,0.017945124962747652,0.5279828267365521,-0.3888945577345276,-0.12794437263832092,0.4435891739053518,0.5446064,neutral,Tired,-0.12794437263832092,0.12794437263832092,0.0,0.3888945577345276
2025-11-30 00:08:09.479624,7.0,Tired,-0.2720741,-0.065827385,0.37942302,-0.34605318,0.34605318,-0.14300317,0.14300317,0.17923456,0.007,0.056083836,0.014007078,0.11609742,0.007000158,0.620577,154350,176400,268.01184,60.243572,226.00494,0.22477952,0.012660735,0.0153894825,0.05439035,1689.5836074528554,568.1779486430653,1375.161933387123,2784.634676846591,0.1091419566761363,-462.94974,104.06888,119.345856,49.162327,-57.034485,39.750168,38.461323,41.441814,18.137453,16.708529,-14.076893,13.604455,-12.210849,15.269263,-11.606937,12.01163,-3.9514527,8.933164,-8.045896,6.801333,-9.830592,6.7375793,-10.958323,5.24069,-9.168257,10.922134,4.0,0.5681818181818182,0.19781184,59.810917,-0.314994752407074,-0.1476186513900756,-0.1888902187347412,0.3235866768793626,0.6305432,0.0525420096851455,0.0,0.3785082640074211,0.1434885773157312,0.0392442123651546,0.2232685726119128,0.1629483640146347,-0.2935344278812408,-0.1067230179905891,0.3515048495747826,Tired,0.12546419199999997,0.07188057178357384,0.08230525839471936,0.02556755750554365,0.19482067320222635,0.01667337430954638,0.4832884092043904,-0.28495029572212216,-0.09036476491702267,0.36267211706380875,0.6305432,neutral,Tired,-0.09036476491702267,0.09036476491702267,0.0,0.28495029572212216
2025-11-30 00:08:10.480011,8.0,Tired,-0.39794227,-0.007935911,0.32608306,-0.4657851,0.4657851,-0.09666434,0.09666434,0.10570905,2.3126757e-12,0.056087784,0.014006042,0.15027994,2.1535358e-07,0.680917,176400,198450,209.00684,47.372612,209.43672,0.2266558,0.024488293,0.013692484,0.05647325,1306.9484260575407,1021.5699868338417,1169.9510654895732,2345.895663174716,0.0972234552556818,-401.8543,62.897728,199.00731,67.042305,-37.07916,23.76852,15.65282,24.152758,-0.46138847,24.704872,-3.3238,29.762476,-13.518256,14.612092,-9.167301,15.870898,-13.324234,10.286903,-6.8517394,7.8339067,-0.57603884,10.2083235,-8.57369,9.191452,1.2879567,7.123111,6.0,0.1590909090909091,0.5590417,54.370316,-0.2652500867843628,0.0607842206954956,-0.126366376876831,0.5651524088599464,0.4736923,0.1979135572219287,0.0,0.0862876680578737,0.091552541083711,0.0474791035683613,0.1000422907442536,0.4767248393238715,-0.3315961807966232,0.026424154639244,0.4456177364696155,Calm,0.073996335,0.03001268722489495,0.0667272111251133,0.0691782965665786,0.1310822584173621,0.014243881818014389,0.6196593517971614,-0.35813461503530886,0.012680128508648678,0.3978038646579839,0.4736923,neutral,Calm,0.012680128508648678,-0.012680128508648678,0.0,0.35813461503530886
2025-11-30 00:08:11.480397,9.0,Calm,-0.49503744,0.124693155,0.18345016,-0.5764031,0.5764031,0.031267673,-0.031267673,0.06573645,6.629401e-13,0.02104213,0.0070085023,0.08966308,3.360792e-08,0.8235498,198450,220500,242.4567,60.65985,207.85956,0.25018838,0.019649003,0.012764416,0.041310795,1887.415195728535,1225.87077543335,1122.1866286231405,2864.405406605113,0.1342662464488636,-405.79678,77.05029,137.80794,102.14287,-66.135895,41.4003,61.20085,55.237717,-6.14958,26.897467,-9.056171,18.904099,-11.373361,13.335705,-3.7369752,16.210463,-8.337118,6.0028987,-7.6092944,6.891612,4.239846,12.196579,-10.90809,10.266075,-3.875576,8.279857,5.0,0.2954545454545454,0.041118626,69.52317,-0.4553673863410949,-0.2837629318237304,-0.1791460514068603,0.4829101790081371,0.6869555,0.0083830594366266,0.2257089197126194,0.2777058103874347,0.1492824605782039,0.0282679647973292,0.2760830373325829,0.034568747755203,-0.4752024114131927,-0.079534888267517,0.3331801707094366,Tired,0.1137281909137858,0.08282491120023892,0.05951422917346117,0.007420869440987979,0.14607589911623042,0.00848041296474276,0.5868554843265609,-0.48313642390232847,0.0021563289528808705,0.27328816570244113,0.6869555,neutral,Calm,0.0021563289528808705,-0.0021563289528808705,0.0,0.48313642390232847
