Summary_Metric,Voice_Metric,Correlation,P_Value,Significant,Abs_Correlation
Overall_Percentage,intensity_trend_direction,0.5206316813931428,0.046613165317411644,Yes,0.5206316813931428
Overall_Percentage,speech_rate_trend_slope,-0.5205732837735738,0.046642130506222665,Yes,0.5205732837735738
Topic_Coverage,pitch_range_total_change,0.5199821476007898,0.04693608248158081,Yes,0.5199821476007898
Overall_Percentage,pitch_std_total_change,0.5187843721454859,0.04753588555449702,Yes,0.5187843721454859
Topic_Coverage,disgust_min,-0.5181703631143758,0.04784554244513425,Yes,0.5181703631143758
Overall_Percentage,surprise_trend_slope,-0.5169954605173981,0.04844221207480641,Yes,0.5169954605173981
Semantic_Similarity,surprise_min,-0.5157524279084142,0.04907943236714178,Yes,0.5157524279084142
Topic_Coverage,silence_ratio_trend_direction,-0.5147636522201805,0.0495907033438343,Yes,0.5147636522201805
Semantic_Similarity,intensity_range,0.5142857142857142,0.04983923347142065,Yes,0.5142857142857142
Topic_Coverage,speech_rate_max_change,0.5118586506438111,0.051115484399876225,No,0.5118586506438111
Topic_Coverage,silence_ratio_median,0.5114332806928388,0.05134161107346446,No,0.5114332806928388
Overall_Percentage,valence_min,-0.5098751484703566,0.05217619282470129,No,0.5098751484703566
Overall_Percentage,pitch_variation_total_change,0.5098398140050465,0.05219523372408739,No,0.5098398140050465
Semantic_Similarity,neutral_max,-0.5071428571428571,0.05366366378080588,No,0.5071428571428571
Semantic_Similarity,tremor_max_change,0.5071428571428571,0.05366366378080588,No,0.5071428571428571
Semantic_Similarity,neutral_range,-0.5071428571428571,0.05366366378080588,No,0.5071428571428571
Semantic_Similarity,tremor_range,0.5071428571428571,0.05366366378080588,No,0.5071428571428571
Semantic_Similarity,spectral_bandwidth_max_change,0.5071428571428571,0.05366366378080588,No,0.5071428571428571
Factual_Accuracy,valence_cv,0.5014858873767987,0.05684175794985334,No,0.5014858873767987
Factual_Accuracy,spectral_bandwidth_variance,-0.5014858873767987,0.05684175794985334,No,0.5014858873767987
Factual_Accuracy,spectral_centroid_variance,-0.5014858873767987,0.05684175794985334,No,0.5014858873767987
Factual_Accuracy,spectral_centroid_cv,-0.5014858873767987,0.05684175794985334,No,0.5014858873767987
Factual_Accuracy,spectral_rolloff_std,-0.5014858873767987,0.05684175794985334,No,0.5014858873767987
Factual_Accuracy,spectral_rolloff_variance,-0.5014858873767987,0.05684175794985334,No,0.5014858873767987
Factual_Accuracy,spectral_centroid_std,-0.5014858873767987,0.05684175794985334,No,0.5014858873767987
Factual_Accuracy,spectral_bandwidth_std,-0.5014858873767987,0.05684175794985334,No,0.5014858873767987
Overall_Percentage,harmonic_ratio_total_change,0.5008952558646071,0.05718132266220657,No,0.5008952558646071
Overall_Percentage,intensity_trend_slope,0.5008952558646071,0.05718132266220657,No,0.5008952558646071
Semantic_Similarity,spectral_bandwidth_range,0.4964285714285714,0.05979741374992401,No,0.4964285714285714
Topic_Coverage,neutral_std,-0.49099359581816726,0.06309683758137123,No,0.49099359581816726
Topic_Coverage,neutral_variance,-0.49099359581816726,0.06309683758137123,No,0.49099359581816726
Topic_Coverage,spectral_bandwidth_max,0.4891818113317533,0.06422550622639764,No,0.4891818113317533
Overall_Percentage,neutral_total_change,0.48837287446799194,0.06473413647154884,No,0.48837287446799194
Topic_Coverage,happy_total_change,0.48737002684533937,0.06536873302776758,No,0.48737002684533937
Semantic_Similarity,stress_min,-0.48571428571428565,0.06642631232518958,No,0.48571428571428565
Topic_Coverage,angry_trend_slope,0.48555824235892553,0.06652661649274273,No,0.48555824235892553
Topic_Coverage,spectral_rolloff_mean,0.4837464578725116,0.06769925466330058,No,0.4837464578725116
Topic_Coverage,angry_mean_change,0.4837464578725116,0.06769925466330058,No,0.4837464578725116
Overall_Percentage,happy_total_change,0.48300613958372823,0.0681826783967194,No,0.48300613958372823
Overall_Percentage,silence_ratio_max_change,-0.4822665102182355,0.06866813523369654,No,0.4822665102182355
Semantic_Similarity,pitch_std_std,0.48214285714285704,0.06874953772064366,No,0.48214285714285704
Semantic_Similarity,pitch_std_variance,0.48214285714285704,0.06874953772064366,No,0.48214285714285704
Overall_Percentage,dominance_total_change,0.47942831632755256,0.070554141162497,No,0.47942831632755256
Overall_Percentage,silence_ratio_trend_slope,-0.47942831632755256,0.070554141162497,No,0.47942831632755256
