timestamp,time_seconds,facial_quadrant,facial_arousal,facial_valence,facial_intensity,facial_excitement,facial_calmness,facial_positivity,facial_negativity,facial_angry,facial_disgust,facial_fear,facial_happy,facial_sad,facial_surprise,facial_neutral,voice_segment_start,voice_segment_end,voice_pitch_mean,voice_pitch_std,voice_pitch_range,voice_pitch_variation,voice_volume_mean,voice_volume_std,voice_volume_range,voice_spectral_centroid,voice_spectral_centroid_std,voice_spectral_bandwidth,voice_spectral_rolloff,voice_zero_crossing_rate,voice_mfcc_1,voice_mfcc_1_std,voice_mfcc_2,voice_mfcc_2_std,voice_mfcc_3,voice_mfcc_3_std,voice_mfcc_4,voice_mfcc_4_std,voice_mfcc_5,voice_mfcc_5_std,voice_mfcc_6,voice_mfcc_6_std,voice_mfcc_7,voice_mfcc_7_std,voice_mfcc_8,voice_mfcc_8_std,voice_mfcc_9,voice_mfcc_9_std,voice_mfcc_10,voice_mfcc_10_std,voice_mfcc_11,voice_mfcc_11_std,voice_mfcc_12,voice_mfcc_12_std,voice_mfcc_13,voice_mfcc_13_std,voice_speech_rate,voice_silence_ratio,voice_harmonic_ratio,voice_tremor,voice_arousal,voice_valence,voice_intensity,voice_stress,voice_happy,voice_angry,voice_sad,voice_fear,voice_surprise,voice_disgust,voice_neutral,combined_arousal,combined_valence,combined_intensity,combined_quadrant,fused_angry,fused_disgust,fused_fear,fused_happy,fused_sad,fused_surprise,fused_neutral,fused_arousal,fused_valence,fused_intensity,fused_stress,fused_dominant_emotion,fused_quadrant,fused_positivity,fused_negativity,fused_excitement,fused_calmness
2025-11-29 13:57:19.214598,0.0,Calm,-0.23568912,0.409335,0.34199995,-0.27289706,0.27289706,0.3400349,-0.3400349,0.0070398394,5.388129e-13,0.02100005,0.29995927,0.014000781,3.183793e-09,0.65800005,0,22050,271.75372,93.878456,319.67752,0.34545416,0.09597578,0.0928157,0.2821971,2304.530041287466,1120.3237777471209,2147.1516960066588,4706.962446732955,0.0931063565340909,-333.8464,162.01468,62.373104,60.29775,-10.645361,26.871729,54.189987,42.080257,-0.68795663,16.974258,12.881217,19.74959,-25.57335,24.867437,-10.076541,10.877698,-4.3649397,8.77668,-12.107766,15.319234,-15.145644,13.1896515,-10.926597,13.848483,-1.0500774,8.231377,5.0,0.3863636363636363,0.43606642,100.076035,0.8836359,-0.3040928039333658,0.6877271500500766,0.8107616901397705,0.1186454110841822,0.2546895031272494,0.0,0.1976552885580302,0.1690090515331619,0.1602054742060905,0.0997952714912856,0.3239734,0.0526210917342982,0.5148635490374132,Excited,0.08133473851817483,0.048061642262204315,0.07399662156740905,0.24556511232525463,0.0098005467,0.05070271768860367,0.4905386164473856,0.100108386,0.19530665881999024,0.44571811001502293,0.8107616901397705,neutral,Excited,0.19530665881999024,-0.19530665881999024,0.100108386,0.0
2025-11-29 13:57:20.215876,1.0,Calm,-0.3459928,0.020299613,0.28793496,-0.42832467,0.42832467,-0.06693059,0.06693059,0.12417385,0.00023354738,0.07071893,0.007152637,0.0846879,0.00096810784,0.719065,22050,44100,269.5005,100.925896,290.53445,0.37449244,0.07241753,0.06292075,0.18340035,1846.7904189922665,841.0312312500008,1926.618358406228,3764.640114524148,0.0589266690340909,-361.36523,163.61836,88.245705,58.55897,-12.175418,28.631126,55.419704,44.513363,23.40446,18.581083,10.136433,13.64033,-32.090317,24.963291,-19.167772,18.193909,-3.3190918,7.869821,-6.148231,9.912915,-16.267036,11.47394,-12.566651,12.217762,4.4841022,8.376857,3.0,0.3181818181818182,0.23116735,115.97892,0.5322894,-0.4323936190963242,0.7168932123617693,0.909926176071167,0.0460967769185892,0.2851540192402738,0.0,0.2402605895357441,0.1254104081953642,0.2414948984182612,0.0615833076917672,0.09314829,-0.2060470028102623,0.5024140856482766,Stressed,0.17246790077208213,0.07261195269147835,0.12158142786072323,0.01883587897557676,0.05928152999999999,0.038300797946609254,0.52182049230753,-0.08250813999999998,-0.11550835662889726,0.4166224357085308,0.909926176071167,neutral,Tired,-0.11550835662889726,0.11550835662889726,0.0,0.08250813999999998
2025-11-29 13:57:21.216390,2.0,Calm,-0.22778843,0.40413612,0.3349998,-0.26678023,0.26678023,0.33623403,-0.33623403,0.01945808,5.7864863e-12,0.014000808,0.2945211,0.007019801,2.648285e-09,0.65800023,44100,66150,295.74557,89.779274,300.591,0.3035693,0.07423294,0.039231982,0.15698402,1427.683833261506,869.8894503611558,1420.161309971768,2599.889581853693,0.0811545632102272,-260.50143,78.69427,156.17905,48.34447,-28.637714,30.89229,39.28433,27.594168,9.367804,19.000309,13.76265,15.839614,-49.874985,14.150551,-17.34962,17.40835,-11.117137,11.456806,-1.4705914,11.902068,-10.181939,11.448301,-14.854783,10.47924,1.2715018,6.7102737,7.0,0.0227272727272727,0.69021374,100.33496,0.82499707,-0.1876891719454518,0.7842526251619513,0.7141528725624084,0.2333194092800714,0.1743089156781255,0.0,0.1302239613493269,0.1827106473624726,0.0660342864586502,0.2134027798713533,0.2986043,0.1082234746637944,0.5596262124451724,Excited,0.06591333070343765,0.0198102859416456,0.048867754004798064,0.2761605927840214,0.0049138607,0.054813196062541286,0.5246209949614059,0.08804722000000001,0.22658853241636445,0.46977564754858536,0.7141528725624084,neutral,Excited,0.22658853241636445,-0.22658853241636445,0.08804722000000001,0.0
2025-11-29 13:57:22.216806,3.0,Calm,-0.22778843,0.40413612,0.3349998,-0.26678023,0.26678023,0.33623403,-0.33623403,0.01945808,5.7864863e-12,0.014000808,0.2945211,0.007019801,2.648285e-09,0.65800023,66150,88200,199.60098,101.23992,310.26422,0.50721157,0.0023159084,0.0033262174,0.010649932,3058.9088244090626,1150.513645047036,2637.160433795004,6094.385875355114,0.1403919566761363,-673.3937,155.09332,66.14533,52.928783,2.0636945,37.832405,40.78241,32.48646,1.4229798,23.559095,16.092552,7.507747,-14.15951,26.493233,3.3342726,10.993499,-2.47286,12.066545,5.317532,6.0116715,0.6416297,5.1499133,-6.304028,15.764467,1.9096813,4.722079,4.0,0.9545454545454546,0.011781095,80.097664,0.5184132,-0.5799458825585151,0.1889589260924946,0.9785318374633788,0.0014081020655987,0.107391140144662,0.2016013801112526,0.2661589773493801,0.1014801392805206,0.3200473171361226,0.0019129439124631,0.14531237,-0.0879048806427371,0.2619793629104441,Stressed,0.045837998043398595,0.09601419514488732,0.08964825880481403,0.20658720061967958,0.06539427473337577,0.03044404363795568,0.46117404417373886,-0.00392794099999999,0.10891151923244544,0.29118753782774837,0.9785318374633788,neutral,Calm,0.10891151923244544,-0.10891151923244544,0.0,0.00392794099999999
2025-11-29 13:57:23.217206,4.0,Calm,-0.22778843,0.40413612,0.3349998,-0.26678023,0.26678023,0.33623403,-0.33623403,0.01945808,5.7864863e-12,0.014000808,0.2945211,0.007019801,2.648285e-09,0.65800023,88200,110250,133.95174,35.919235,124.27388,0.26815057,5.5294437e-05,1.667374e-05,7.264264e-05,3654.7457697591904,256.4849743739113,3207.248847657432,7695.428466796875,0.1789328835227272,-783.4566,14.739264,52.203415,14.580001,14.580938,4.53441,20.98285,9.249098,7.6087313,8.597494,11.938888,7.4777837,3.1858153,2.6298192,5.374834,4.07184,2.1143398,3.5994444,4.411522,3.5564094,0.2327649,2.3426335,1.8108401,4.662861,1.8346728,2.9041903,5.0,1.0,0.33373618,44.30347,0.35599136,-0.372794388063967,0.0809981152415275,0.6175275444984436,0.0856734743724608,0.0461824166762493,0.2504845310695998,0.1593137620953822,0.1105150433690107,0.2069909284469397,0.1408398439703573,0.064101465,0.0156708666045368,0.2079989574849605,Excited,0.027475381002874787,0.06209727853813245,0.05759469422861466,0.2318668123117382,0.08005922002087992,0.033154514864502715,0.5028521141911071,-0.05265449299999998,0.17105696758080988,0.25879929457245826,0.6175275444984436,neutral,Calm,0.17105696758080988,-0.17105696758080988,0.0,0.05265449299999998
2025-11-29 13:57:24.217606,5.0,Tired,-0.13785653,-0.02216956,0.3600164,-0.22707622,0.22707622,-0.088410825,0.088410825,0.27725327,0.007021655,0.020433167,0.042070363,0.011831127,0.0014068759,0.6399836,110250,132300,129.40135,48.74914,211.29022,0.37672824,4.988796e-05,4.107341e-06,1.9051979e-05,3547.305513572037,175.59199425102292,3294.759893799451,7791.104403409091,0.1634077592329545,-788.9904,7.5348206,58.783436,5.214601,16.610008,4.551865,17.63411,3.3876514,10.997932,3.67231,9.977492,3.2944596,1.970263,3.4724712,5.0610375,3.2608638,2.077841,2.631414,5.1810565,2.5073836,1.635604,3.3068812,2.5942836,3.1972125,2.3098013,3.2557714,7.0,1.0,0.51893693,54.907806,0.5079434,-0.3063242327417165,0.1135173514485359,0.5941762328147888,0.1426119351511992,0.0582133128165367,0.1667470058515118,0.1340442579227363,0.172878196830167,0.129309451225378,0.1961958402024707,0.18504342,-0.164246896467866,0.2367668785154819,Stressed,0.211541282844961,0.043707993867613405,0.05451649427682089,0.07223283464535975,0.05830589065545354,0.052848272179050096,0.5068472720607411,0.055883449000000016,-0.10741596182251495,0.28606668543456076,0.5941762328147888,neutral,Stressed,-0.10741596182251495,0.10741596182251495,0.055883449000000016,0.0
2025-11-29 13:57:25.217999,6.0,Tired,-0.13785653,-0.02216956,0.3600164,-0.22707622,0.22707622,-0.088410825,0.088410825,0.27725327,0.007021655,0.020433167,0.042070363,0.011831127,0.0014068759,0.6399836,132300,154350,131.45728,49.36586,243.96365,0.3755278,5.2165877e-05,6.825885e-06,3.1551495e-05,3556.611920163648,163.07187199959327,3326.633249573391,7838.330632990057,0.1572265625,-788.71606,10.988239,59.927914,5.1752133,18.710794,4.3835616,14.587129,3.6997695,10.457824,3.514547,10.87327,3.4511592,1.3116456,4.2707515,5.109164,3.6543307,1.8299103,3.530533,5.526624,2.5597887,1.0130588,3.0366547,1.9725597,2.4167595,2.3045402,3.0434089,4.0,1.0,0.5085734,62.551834,0.31028664,-0.3096464822813879,0.1131800040602684,0.6007349491119385,0.1308469114596142,0.0507330570062888,0.1996107943280073,0.1202476267594282,0.1530718035052393,0.1188637609818544,0.2266260459595676,0.08621506,-0.1659080212377017,0.2365982048213482,Stressed,0.20929720610188662,0.040574286794556325,0.050377504927828456,0.06870332753788426,0.06816502719840219,0.04690635418157179,0.5159763337878702,-0.003413579,-0.10841263668441638,0.2859654812180805,0.6007349491119385,neutral,Tired,-0.10841263668441638,0.10841263668441638,0.0,0.003413579
2025-11-29 13:57:26.218422,7.0,Calm,-0.20823504,0.27177638,0.32099718,-0.26682818,0.26682818,0.20387058,-0.20387058,0.11046206,2.1207831e-10,0.0070009143,0.20347975,5.439163e-05,3.6031285e-08,0.67200285,154350,176400,156.28204,68.53418,293.02148,0.4385288,4.159089e-05,3.8221046e-06,1.8415205e-05,3538.5681270200434,217.81703153402373,3322.757620442094,7798.934659090909,0.1433216441761363,-810.22327,11.929615,61.823574,5.0642023,20.095293,2.659881,13.477457,4.0811014,9.272474,4.2421365,10.827899,3.5831294,-0.18063612,3.0624526,4.514709,3.328001,0.48395976,2.9636474,5.3720975,2.9018745,0.72782636,2.8095262,0.808663,2.9058669,1.7110668,3.485006,7.0,1.0,0.5087649,72.49094,0.59437704,-0.3124291029551727,0.1319745481014251,0.6706897616386414,0.1343396649967729,0.0685956492781168,0.1483996706138742,0.1526660258309419,0.1971794901746593,0.1324905316367176,0.1663289674689172,0.19307101,-0.020326362400209,0.22648586332798,Stressed,0.09790213678343504,0.03974715963947009,0.05070044775928257,0.18273772449903186,0.044557975325162265,0.05915387227429729,0.5203006852406752,0.03254858399999999,0.09651473511344817,0.2642903904304275,0.6706897616386414,neutral,Excited,0.09651473511344817,-0.09651473511344817,0.03254858399999999,0.0
2025-11-29 13:57:27.218819,8.0,Calm,-0.22342171,0.42061645,0.33499843,-0.26242507,0.26242507,0.3533987,-0.3533987,0.02301228,6.289502e-11,0.007003138,0.30481052,0.00017251185,4.1363393e-10,0.6650016,176400,198450,130.4769,43.97361,203.0214,0.3370222,4.2943466e-05,3.835465e-06,1.7109378e-05,3448.757520386594,195.06752887296025,3326.964247865877,7743.388782848011,0.1364524147727272,-814.8399,10.534298,63.211903,4.7520385,21.232224,3.5005863,14.881875,3.5970845,11.468985,3.1127775,12.356381,2.937953,1.2641562,3.1076245,5.956731,2.286555,1.6085715,2.7662134,5.552448,3.738718,0.86755615,2.9339228,2.1006186,3.4218745,1.5714139,3.342715,6.0,1.0,0.49006796,50.488106,0.45228183,-0.3317291697324089,0.1015360951423645,0.5855715274810791,0.1302928173904472,0.0540228200538166,0.1937759393341392,0.1385257596092187,0.1475974623274433,0.1442751770739716,0.1915100242109631,0.11443006,0.0444436390965793,0.2182672619819641,Excited,0.03231544201614498,0.04328255316621799,0.046459924482765605,0.25245520921713416,0.05825354009524176,0.04427923898777674,0.5229541272632888,-0.020710647999999998,0.1949127640802773,0.26495972954270935,0.5855715274810791,neutral,Calm,0.1949127640802773,-0.1949127640802773,0.0,0.020710647999999998
2025-11-29 13:57:28.219212,9.0,Calm,-0.40499574,0.0774039,0.22482908,-0.49289045,0.49289045,-0.005129963,0.005129963,0.09178796,0.03198858,0.042569418,0.007525411,0.049500763,0.001456954,0.76817095,198450,220500,136.91154,47.57529,256.49817,0.34748927,4.1471492e-05,4.5077527e-06,2.5963134e-05,3474.981824233246,208.6565287132806,3322.534280122313,7740.941827947443,0.133544921875,-815.9143,9.522233,62.660294,4.6182036,21.263126,2.9703128,14.868882,3.139218,12.393693,3.693037,13.520655,3.5007308,0.19532622,2.8586223,5.675835,3.1929984,0.8860042,3.5959792,5.1780896,3.5036895,0.43506023,3.9210906,0.629216,3.227352,0.46377695,2.7167559,6.0,1.0,0.45227328,70.248825,0.46692038,-0.3449778137066261,0.1046615019440651,0.6163154244422913,0.1173039044621199,0.0572790606024489,0.1971331502813444,0.150262645499955,0.1490047749739946,0.1595530580899231,0.1694634060902137,0.030962318,-0.1337869553495594,0.1647452898323536,Stressed,0.08143529018073467,0.07025792342697693,0.0748773862499865,0.040458959038635965,0.09379047918440331,0.04572130029219838,0.5885586868270641,-0.143420904,-0.04931061411198784,0.1887788065832195,0.6163154244422913,neutral,Tired,-0.04931061411198784,0.04931061411198784,0.0,0.143420904
